text,label
West Bengal faces tidal wave as emergency declared.,tsunami
"Homes in Kolkata are swollen tides, people stranded.",ocean_conditions
Kolkata faces flood as latest update.,flooding
"Breaking: Storm surge reported in Gujarat, people stranded.",storm_surge
"Kolkata under tidal wave, rescue teams rushed in.",tsunami
Residents report sea waves crashing inland in Odisha #cyclone.,storm_surge
"Urgent: Gujarat experiences rip currents, people stranded.",ocean_conditions
"People moved to shelters causes major disruption in Mumbai, emergency declared.",evacuation
"Homes in Goa are relief supplies, #alert.",aid
"Breaking: Rip currents reported in Kolkata, people stranded.",ocean_conditions
"Authorities confirm severe storm in Sri Lanka, emergency declared.",cyclone
"Authorities confirm beach erosion in Sri Lanka, authorities on high alert.",erosion
"Swollen tides causes major disruption in Andhra coast, breaking news.",ocean_conditions
"Authorities confirm inundation in Goa, authorities on high alert.",flooding
"Coastal region of Tamil Nadu is struggling with medical aid, people stranded.",aid
"Tamil Nadu under mass evacuation, rescue teams rushed in.",evacuation
"West Bengal under rescue operations, rescue teams rushed in.",rescue
"Homes in Tamil Nadu are shoreline collapse, #floods.",erosion
"Authorities confirm distribution of aid in Tamil Nadu, casualties feared.",relief
"Homes in Goa are rescue operations, widespread damage.",rescue
Residents report clean water in Odisha widespread damage.,aid
Kerala faces torrential rain as breaking news.,heavy_rain
"Please help causes major disruption in Goa, breaking news.",distress
"Authorities confirm relief camps set up in Odisha, dangerous conditions continue.",relief
"Authorities confirm tsunami in Kerala, latest update.",tsunami
"Violent gusts causes major disruption in Tamil Nadu, authorities on high alert.",wind
"Urgent: Sri Lanka experiences cloudburst, widespread damage.",heavy_rain
"People moved to shelters hits Maldives, situation worsening.",evacuation
"Urgent: Goa experiences violent gusts, #coastalstorm.",wind
"Tropical depression hits Kerala, casualties feared.",cyclone
"Cyclone causes major disruption in Odisha, dangerous conditions continue.",cyclone
"Urgent: Andhra coast experiences donations, #staysafe.",aid
Residents report flood in Gujarat emergency declared.,flooding
"Homes in Mumbai are tropical depression, roads blocked.",cyclone
"Authorities confirm cloudburst in West Bengal, emergency declared.",heavy_rain
"Homes in Chennai are urgent rescue needed, roads blocked.",distress
"Odisha under rip currents, rescue teams rushed in.",ocean_conditions
"Breaking: Villagers relocated reported in Kerala, dangerous conditions continue.",evacuation
Residents report coastal flooding in Bay of Bengal people stranded.,storm_surge
"Gujarat under urgent rescue needed, rescue teams rushed in.",distress
"Urgent: Bay of Bengal experiences SOS, roads blocked.",distress
"Breaking: Tropical depression reported in Goa, roads blocked.",cyclone
"Distribution of aid causes major disruption in Kerala, emergency declared.",relief
"Gale force winds hits Bay of Bengal, authorities on high alert.",wind
Sri Lanka faces coast guard helping as dangerous conditions continue.,rescue
"Clean water causes major disruption in Mumbai, dangerous conditions continue.",aid
Kerala faces tsunami as casualties feared.,tsunami
"Coastal region of Gujarat is struggling with typhoon, roads blocked.",cyclone
"Tamil Nadu under people moved to shelters, rescue teams rushed in.",evacuation
"Emergency sheltering hits Maldives, authorities on high alert.",evacuation
"Medical aid hits Chennai, situation worsening.",aid
Odisha faces relief camps set up as situation worsening.,relief
"Authorities confirm medical aid in Andhra coast, casualties feared.",aid
"Urgent: West Bengal experiences emergency kitchens, roads blocked.",relief
"Streets submerged hits Tamil Nadu, situation worsening.",flooding
"Authorities confirm volunteers helping in Mumbai, latest update.",relief
Tamil Nadu faces SOS as breaking news.,distress
"Authorities confirm emergency sheltering in Chennai, authorities on high alert.",evacuation
"Nonstop rainfall causes major disruption in Andhra coast, breaking news.",heavy_rain
"Homes in Andaman Islands are emergency kitchens, widespread damage.",relief
"Bay of Bengal under relief camps set up, rescue teams rushed in.",relief
"Clean water hits Bay of Bengal, emergency declared.",aid
Chennai faces waterlogging as authorities on high alert.,flooding
"Authorities confirm navy deployed in West Bengal, authorities on high alert.",rescue
"Odisha under relief camps set up, rescue teams rushed in.",relief
Andaman Islands faces gale force winds as emergency declared.,wind
Kolkata faces typhoon as authorities on high alert.,cyclone
"Andaman Islands under beach erosion, rescue teams rushed in.",erosion
Kerala faces navy deployed as authorities on high alert.,rescue
"Coastal region of Mumbai is struggling with relief camps set up, roads blocked.",relief
"Urgent: Sri Lanka experiences navy deployed, roads blocked.",rescue
"Goa under donations, rescue teams rushed in.",aid
Chennai faces strong winds as dangerous conditions continue.,wind
"Homes in Odisha are storm surge, people stranded.",storm_surge
"Authorities confirm emergency kitchens in Tamil Nadu, latest update.",relief
Residents report volunteers helping in Bay of Bengal widespread damage.,relief
"Beach erosion hits Andhra coast, situation worsening.",erosion
"Gale force winds causes major disruption in West Bengal, emergency declared.",wind
"Coastal region of Mumbai is struggling with helicopter rescue, #floods.",rescue
"Urgent: Tamil Nadu experiences tidal wave, people stranded.",tsunami
"Dunes destroyed hits West Bengal, dangerous conditions continue.",erosion
Residents report navy deployed in Bay of Bengal roads blocked.,rescue
"Breaking: Typhoon reported in Kerala, widespread damage.",cyclone
"Strong winds causes major disruption in Tamil Nadu, dangerous conditions continue.",wind
"Severe storm hits Goa, emergency declared.",cyclone
Tamil Nadu faces emergency sheltering as casualties feared.,evacuation
"Rough seas causes major disruption in Maldives, latest update.",ocean_conditions
"Emergency sheltering hits Sri Lanka, situation worsening.",evacuation
"Urgent: Bay of Bengal experiences hurricane, widespread damage.",cyclone
"Urgent: Sri Lanka experiences high tide surge, widespread damage.",storm_surge
"Urgent: Tamil Nadu experiences rescue operations, #floods.",rescue
"Authorities confirm stranded families in Andhra coast, latest update.",distress
Mumbai faces dangerous swell as situation worsening.,ocean_conditions
"Coastal region of Goa is struggling with cloudburst, people stranded.",heavy_rain
"Seawater rushing in causes major disruption in Tamil Nadu, dangerous conditions continue.",tsunami
"Mass evacuation hits Odisha, breaking news.",evacuation
"Helicopter rescue hits Gujarat, situation worsening.",rescue
"People moved to shelters hits Bay of Bengal, casualties feared.",evacuation
"Authorities confirm stormy winds in Andaman Islands, authorities on high alert.",wind
Residents report shoreline collapse in Andaman Islands people stranded.,erosion
Residents report strong winds in Chennai widespread damage.,wind
Residents report heavy rain in Andaman Islands casualties feared.,heavy_rain
"Coastal region of Tamil Nadu is struggling with people moved to shelters, people stranded.",evacuation
"Coastal region of Maldives is struggling with mass evacuation, casualties feared.",evacuation
"Tamil Nadu under relief supplies, rescue teams rushed in.",aid
"Breaking: Emergency kitchens reported in Kerala, people stranded.",relief
"Breaking: Emergency kitchens reported in Chennai, people stranded.",relief
"Authorities confirm rip currents in Mumbai, latest update.",ocean_conditions
"Homes in Odisha are clean water, widespread damage.",aid
"Homes in Andhra coast are stranded families, latest update.",distress
"Stormy winds causes major disruption in Tamil Nadu, authorities on high alert.",wind
"Homes in Bay of Bengal are heavy rain, widespread damage.",heavy_rain
"Urgent: Goa experiences strong winds, people stranded.",wind
